# param-sweep per-variant results (fail-closed gate: bash parity/param-sweep-verify.sh <workDir>)
# corpus: 1900 variants, parity/programs/param-sweep/manifest.tsv (regeneration drift-checked inside the gate)
# authority: noisemaker@c9ee8a049b2b63cd300da67c01ee40baf29dc288 (v1.0.176), worktree checkout passed via NM_REFERENCE_ROOT
# oracle: node tools/export-graph.mjs — 1900/1900 ok
# candidate: C# live DSL compiler, dotnet 8 tools/graphdump — 1900/1900 ok (no Unity editor)
# diff: python3 parity/graph-diff.py — 1900 graph-clean, 0 FAIL, 0 missing, exit 0
classicNoisedeck__effects__flip__downToUp	PASS
classicNoisedeck__effects__flip__lrUd	PASS
classicNoisedeck__effects__flip__lrDu	PASS
classicNoisedeck__effects__flip__rlUd	PASS
classicNoisedeck__effects__flip__rlDu	PASS
classicNoisedeck__effects__intensity__mid	PASS
classicNoisedeck__effects__saturation__mid	PASS
classicNoisedeck__glitch__glitchiness__mid	PASS
classicNoisedeck__glitch__aberration__mid	PASS
classicNoisedeck__glitch__xChonk__mid	PASS
classicNoisedeck__glitch__yChonk__mid	PASS
classicNoisedeck__glitch__seed__mid	PASS
classicNoisedeck__glitch__scanlinesAmt__mid	PASS
classicNoisedeck__glitch__snowAmt__mid	PASS
classicNoisedeck__glitch__vignetteAmt__mid	PASS
classicNoisedeck__glitch__distortion__mid	PASS
classicNoisedeck__glitch__aspectLens__true	PASS
classicNoisedeck__kaleido__sides__mid	PASS
classicNoisedeck__kaleido__metric__diamond	PASS
classicNoisedeck__kaleido__metric__hexagon	PASS
classicNoisedeck__kaleido__metric__octagon	PASS
classicNoisedeck__kaleido__metric__square	PASS
classicNoisedeck__kaleido__metric__triangle	PASS
classicNoisedeck__kaleido__loopOffset__triangle	PASS
classicNoisedeck__kaleido__loopOffset__diamond	PASS
classicNoisedeck__kaleido__loopOffset__square	PASS
classicNoisedeck__kaleido__loopOffset__pentagon	PASS
classicNoisedeck__kaleido__loopOffset__hexagon	PASS
classicNoisedeck__kaleido__loopOffset__heptagon	PASS
classicNoisedeck__kaleido__loopOffset__octagon	PASS
classicNoisedeck__kaleido__loopOffset__nonagon	PASS
classicNoisedeck__kaleido__loopOffset__decagon	PASS
classicNoisedeck__kaleido__loopOffset__hendecagon	PASS
classicNoisedeck__kaleido__loopOffset__dodecagon	PASS
classicNoisedeck__kaleido__loopOffset__horizontalScan	PASS
classicNoisedeck__kaleido__loopOffset__verticalScan	PASS
classicNoisedeck__kaleido__loopOffset__noiseConstant	PASS
classicNoisedeck__kaleido__loopOffset__noiseLinear	PASS
classicNoisedeck__kaleido__loopOffset__noiseHermite	PASS
classicNoisedeck__kaleido__loopOffset__noiseCatmullRom3x3	PASS
classicNoisedeck__kaleido__loopOffset__noiseCatmullRom4x4	PASS
classicNoisedeck__kaleido__loopOffset__noiseBSpline3x3	PASS
classicNoisedeck__kaleido__loopOffset__noiseBSpline4x4	PASS
classicNoisedeck__kaleido__loopOffset__noiseSimplex	PASS
classicNoisedeck__kaleido__loopOffset__noiseSine	PASS
classicNoisedeck__kaleido__loopOffset__rings	PASS
classicNoisedeck__kaleido__loopOffset__sine	PASS
classicNoisedeck__kaleido__loopScale__mid	PASS
classicNoisedeck__kaleido__speed__mid	PASS
classicNoisedeck__kaleido__seed__mid	PASS
classicNoisedeck__kaleido__wrap__false	PASS
classicNoisedeck__kaleido__direction__clockwise	PASS
classicNoisedeck__kaleido__direction__counterclock	PASS
classicNoisedeck__kaleido__kernel__blur	PASS
classicNoisedeck__kaleido__kernel__derivatives	PASS
classicNoisedeck__kaleido__kernel__derivDivide	PASS
classicNoisedeck__kaleido__kernel__edge	PASS
classicNoisedeck__kaleido__kernel__emboss	PASS
classicNoisedeck__kaleido__kernel__outline	PASS
classicNoisedeck__kaleido__kernel__pixels	PASS
classicNoisedeck__kaleido__kernel__posterize	PASS
classicNoisedeck__kaleido__kernel__shadow	PASS
classicNoisedeck__kaleido__kernel__sharpen	PASS
classicNoisedeck__kaleido__kernel__sobel	PASS
classicNoisedeck__kaleido__effectWidth__mid	PASS
classicNoisedeck__lensDistortion__shape__cosine	PASS
classicNoisedeck__lensDistortion__shape__diamond	PASS
classicNoisedeck__lensDistortion__shape__hexagon	PASS
classicNoisedeck__lensDistortion__shape__octagon	PASS
classicNoisedeck__lensDistortion__shape__square	PASS
classicNoisedeck__lensDistortion__shape__triangle	PASS
classicNoisedeck__lensDistortion__distortion__mid	PASS
classicNoisedeck__lensDistortion__aspectLens__true	PASS
classicNoisedeck__lensDistortion__loopScale__mid	PASS
classicNoisedeck__lensDistortion__speed__mid	PASS
classicNoisedeck__lensDistortion__mode__prismaticHsv	PASS
classicNoisedeck__lensDistortion__aberration__mid	PASS
classicNoisedeck__lensDistortion__blendMode__alpha	PASS
classicNoisedeck__lensDistortion__modulate__true	PASS
classicNoisedeck__lensDistortion__alpha__mid	PASS
classicNoisedeck__lensDistortion__hueRotation__mid	PASS
classicNoisedeck__lensDistortion__hueRange__mid	PASS
classicNoisedeck__lensDistortion__saturation__mid	PASS
classicNoisedeck__lensDistortion__passthru__mid	PASS
classicNoisedeck__lensDistortion__vignetteAmt__mid	PASS
classicNoisedeck__moodscape__interp__constant	PASS
classicNoisedeck__moodscape__interp__linear	PASS
