synth/remap	zone3_v25	no enumerable values
synth/remap	zone3_v26	no enumerable values
synth/remap	zone3_v27	no enumerable values
synth/remap	zone3_v28	no enumerable values
synth/remap	zone3_v29	no enumerable values
synth/remap	zone3_v30	no enumerable values
synth/remap	zone3_v31	no enumerable values
synth/remap	zone4_tex	type surface not swept
synth/remap	zone4_bounds	no enumerable values
synth/remap	zone4_v0	no enumerable values
synth/remap	zone4_v1	no enumerable values
synth/remap	zone4_v2	no enumerable values
synth/remap	zone4_v3	no enumerable values
synth/remap	zone4_v4	no enumerable values
synth/remap	zone4_v5	no enumerable values
synth/remap	zone4_v6	no enumerable values
synth/remap	zone4_v7	no enumerable values
synth/remap	zone4_v8	no enumerable values
synth/remap	zone4_v9	no enumerable values
synth/remap	zone4_v10	no enumerable values
synth/remap	zone4_v11	no enumerable values
synth/remap	zone4_v12	no enumerable values
synth/remap	zone4_v13	no enumerable values
synth/remap	zone4_v14	no enumerable values
synth/remap	zone4_v15	no enumerable values
synth/remap	zone4_v16	no enumerable values
synth/remap	zone4_v17	no enumerable values
synth/remap	zone4_v18	no enumerable values
synth/remap	zone4_v19	no enumerable values
synth/remap	zone4_v20	no enumerable values
synth/remap	zone4_v21	no enumerable values
synth/remap	zone4_v22	no enumerable values
synth/remap	zone4_v23	no enumerable values
synth/remap	zone4_v24	no enumerable values
synth/remap	zone4_v25	no enumerable values
synth/remap	zone4_v26	no enumerable values
synth/remap	zone4_v27	no enumerable values
synth/remap	zone4_v28	no enumerable values
synth/remap	zone4_v29	no enumerable values
synth/remap	zone4_v30	no enumerable values
synth/remap	zone4_v31	no enumerable values
synth/remap	zone5_tex	type surface not swept
synth/remap	zone5_bounds	no enumerable values
synth/remap	zone5_v0	no enumerable values
synth/remap	zone5_v1	no enumerable values
synth/remap	zone5_v2	no enumerable values
synth/remap	zone5_v3	no enumerable values
synth/remap	zone5_v4	no enumerable values
synth/remap	zone5_v5	no enumerable values
synth/remap	zone5_v6	no enumerable values
synth/remap	zone5_v7	no enumerable values
synth/remap	zone5_v8	no enumerable values
synth/remap	zone5_v9	no enumerable values
synth/remap	zone5_v10	no enumerable values
synth/remap	zone5_v11	no enumerable values
synth/remap	zone5_v12	no enumerable values
synth/remap	zone5_v13	no enumerable values
synth/remap	zone5_v14	no enumerable values
synth/remap	zone5_v15	no enumerable values
synth/remap	zone5_v16	no enumerable values
synth/remap	zone5_v17	no enumerable values
synth/remap	zone5_v18	no enumerable values
synth/remap	zone5_v19	no enumerable values
synth/remap	zone5_v20	no enumerable values
synth/remap	zone5_v21	no enumerable values
synth/remap	zone5_v22	no enumerable values
synth/remap	zone5_v23	no enumerable values
synth/remap	zone5_v24	no enumerable values
synth/remap	zone5_v25	no enumerable values
synth/remap	zone5_v26	no enumerable values
synth/remap	zone5_v27	no enumerable values
synth/remap	zone5_v28	no enumerable values
synth/remap	zone5_v29	no enumerable values
synth/remap	zone5_v30	no enumerable values
synth/remap	zone5_v31	no enumerable values
synth/remap	zone6_tex	type surface not swept
synth/remap	zone6_bounds	no enumerable values
synth/remap	zone6_v0	no enumerable values
synth/remap	zone6_v1	no enumerable values
synth/remap	zone6_v2	no enumerable values
synth/remap	zone6_v3	no enumerable values
synth/remap	zone6_v4	no enumerable values
synth/remap	zone6_v5	no enumerable values
synth/remap	zone6_v6	no enumerable values
synth/remap	zone6_v7	no enumerable values
synth/remap	zone6_v8	no enumerable values
synth/remap	zone6_v9	no enumerable values
synth/remap	zone6_v10	no enumerable values
synth/remap	zone6_v11	no enumerable values
synth/remap	zone6_v12	no enumerable values
synth/remap	zone6_v13	no enumerable values
synth/remap	zone6_v14	no enumerable values
synth/remap	zone6_v15	no enumerable values
synth/remap	zone6_v16	no enumerable values
synth/remap	zone6_v17	no enumerable values
synth/remap	zone6_v18	no enumerable values
synth/remap	zone6_v19	no enumerable values
synth/remap	zone6_v20	no enumerable values
synth/remap	zone6_v21	no enumerable values
synth/remap	zone6_v22	no enumerable values
synth/remap	zone6_v23	no enumerable values
synth/remap	zone6_v24	no enumerable values
synth/remap	zone6_v25	no enumerable values
synth/remap	zone6_v26	no enumerable values
synth/remap	zone6_v27	no enumerable values
synth/remap	zone6_v28	no enumerable values
synth/remap	zone6_v29	no enumerable values
synth/remap	zone6_v30	no enumerable values
synth/remap	zone6_v31	no enumerable values
synth/remap	zone7_tex	type surface not swept
synth/remap	zone7_bounds	no enumerable values
synth/remap	zone7_v0	no enumerable values
synth/remap	zone7_v1	no enumerable values
synth/remap	zone7_v2	no enumerable values
synth/remap	zone7_v3	no enumerable values
synth/remap	zone7_v4	no enumerable values
synth/remap	zone7_v5	no enumerable values
synth/remap	zone7_v6	no enumerable values
synth/remap	zone7_v7	no enumerable values
synth/remap	zone7_v8	no enumerable values
synth/remap	zone7_v9	no enumerable values
synth/remap	zone7_v10	no enumerable values
